State #9
Q: 0.907700
G: 0.022514
Consistent experiment signals: ['V92', 'E103', 'E105', 'L106']
Changes in entanglement cluster IDs: [44, 55, 85]
Trajectory number: 855
Frame number: 299
----------------------------------------------------------------
V92: M: 455.9558
E103: M: 618.1046
E105: M: 621.5363
L106: M: 517.9589
----------------------------------------------------------------
44:
    code: ['L#C#', 'L-C#']
    GLN: [0.15617692104021577, -0.23115356481631555]
    ref_GLN: [0.1914805020924778, 0.6903653259335704]
    linking_number: [0, 0]
    ref_linking_number: [0, 1]
    native_contact: [53, 100]
    ref_native_contact: [53, 100]
    crossing_resid: [[], []]
    ref_crossing_resid: [[], [107]]
    crossing_pattern: ['', '']
    ref_crossing_pattern: ['', '+']
55:
    code: ['L+C#', 'L#C#']
    GLN: [-0.5713950750686244, 0.1142377442472496]
    ref_GLN: [0.3533957185792937, 0.11759707914545345]
    linking_number: [-1, 0]
    ref_linking_number: [0, 0]
    native_contact: [97, 131]
    ref_native_contact: [97, 131]
    crossing_resid: [[91], []]
    ref_crossing_resid: [[], []]
    crossing_pattern: ['-', '']
    ref_crossing_pattern: ['', '']
85:
    code: ['L-C#', 'L#C#']
    GLN: [-0.04844834886732114, 0.24681562196212437]
    ref_GLN: [-0.8244920200270334, 0.37561273843786563]
    linking_number: [0, 0]
    ref_linking_number: [-1, 0]
    native_contact: [264, 313]
    ref_native_contact: [264, 313]
    crossing_resid: [[], []]
    ref_crossing_resid: [[257], []]
    crossing_pattern: ['', '']
    ref_crossing_pattern: ['-', '']
